Lens ID,Title,Date Published,Publication Year,Publication Type,Source Title,ISSNs,Publisher,Source Country,Author/s,Abstract,Volume,Issue Number,Start Page,End Page,Fields of Study,Keywords,MeSH Terms,Chemicals,Funding,Source URLs,External URL,PMID,DOI,Microsoft Academic ID,PMCID,Citing Patents Count,References,Citing Works Count,Is Open Access,Open Access License,Open Access Colour
011-314-715-185-637,Unsupervised contrastive domain adaptive rumor detection with test-time classifier adjustment,,2026,journal article,Information Processing & Management,03064573; 18735371,Elsevier BV,United Kingdom,Hongyan Ran; Di Zhang; Xiaohong Li; Huifang Ma; Caiyan Jia; Yaogong Feng,,63,2,104341,104341,Rumor; Computer science; Classifier (UML); Artificial intelligence; Domain adaptation; Pattern recognition (psychology); Machine learning; Public relations; Political science,,,,Natural Science Foundation of Gansu Province; Natural Science Foundation of Gansu Province; Northwest Normal University,,http://dx.doi.org/10.1016/j.ipm.2025.104341,,10.1016/j.ipm.2025.104341,,,0,001-464-730-947-442; 003-096-489-102-561; 008-226-651-041-133; 009-955-584-557-696; 010-398-500-724-255; 011-370-082-124-530; 015-814-205-419-495; 022-613-822-560-139; 025-459-172-734-112; 025-861-579-784-723; 040-046-930-357-597; 040-190-943-212-393; 045-281-763-980-833; 051-439-140-506-347; 052-725-056-283-594; 053-760-242-491-32X; 071-250-002-148-373; 071-344-872-728-731; 079-838-461-351-870; 080-573-702-874-328; 081-749-600-380-362; 082-281-656-546-726; 091-874-877-254-591; 102-355-564-466-692; 103-725-507-112-857; 106-897-986-054-294; 109-049-663-257-510; 109-239-483-261-915; 113-529-413-448-813; 115-727-572-502-979; 117-935-050-261-919; 128-693-934-817-986; 139-019-275-585-580; 149-153-299-775-354; 151-259-521-174-574; 152-509-961-522-929; 161-545-152-437-008; 165-179-260-385-629; 173-913-171-712-02X; 180-555-978-006-798; 181-827-577-455-173; 199-220-062-324-29X,2,false,,
011-365-470-031-866,Exploring the applicability of digital humanities tools to Ottoman and Turkish languages,2026-02-10,2026,journal article,Digital Scholarship in the Humanities,20557671; 2055768x,Oxford University Press (OUP),United States,Ayse Tarhan,"<jats:title>Abstract</jats:title>;                   <jats:p>The first known computerised language and literature analysis was carried out by Father Roberto Busa in 1949; such studies have increased greatly after 1980, and today the tools are diversified with artificial intelligence. Unfortunately, except for a few minor studies, this development cannot be seen in the fields of Turkish and Ottoman languages. Therefore, as the first step in producing tools for Turkish and Ottoman, it is necessary to understand the algorithms of existing English-based tools and determine the applicability of these algorithms to the Turkish and Ottoman languages. In this study, twelve tools based on text and network analysis will be examined in terms of their suitability for Turkish and Ottoman. Tests on the tools will be evaluated under the headings of Corpus, Visualisation, Word Count, N-Grams, Structure Analysis, Network Analysis, and Labelling. The data obtained will be evaluated in terms of the suitability of the algorithms of the tools, and suggestions will be made for the algorithms that seem suitable for the Turkish and Ottoman language and literature analysis tool or tools to be developed in the future.</jats:p>",,,,,Turkish; Computer science; Digital humanities; Word (group theory); Linguistics; Turkish economy; Field (mathematics); Natural language processing; Artificial intelligence; English language; Minor (academic); Humanities,,,,,,http://dx.doi.org/10.1093/llc/fqag002,,10.1093/llc/fqag002,,,0,026-361-097-225-852; 028-528-556-735-910; 033-154-720-314-315; 034-933-800-594-58X; 053-598-695-896-482; 077-659-105-499-709; 084-391-236-855-469,0,false,,
011-423-766-295-089,Multi-modal machine learning and molecular modelling reveal structurally diverse inhibitors of Mycobacterium tuberculosis protein tyrosine phosphatase B.,2026-02-18,2026,journal article,Molecular diversity,1573501x; 13811991,Springer Science and Business Media LLC,Netherlands,Mohd Imran,"Protein tyrosine phosphatase B (PtpB) is a virulence-associated phosphotyrosine phosphatase secreted by Mycobacterium tuberculosis (Mtb), known to disrupt host immune signaling by dephosphorylating key proteins. Targeting PtpB represents a rational strategy for anti-TB drug discovery. This study presents an integrative computational framework for identifying and evaluating small-molecule inhibitors of Mtb PtpB. QSAR models were constructed using four molecular fingerprint types, CDK, PubChem, MACCS, and AtomPairs2DCount, as regression models predicting pIC<sub>50</sub> values. Multiple machine learning algorithms were evaluated, with model performance assessed via R<sup>2</sup>, RMSE, cross-validation, and Y-randomization. SHAP analysis was applied to the top-performing PubChem-SVR model to interpret key structural features. Top-ranked compounds were subjected to molecular docking followed by 250 ns MD simulations to examine binding stability. MM-GBSA and PCA were used for post-simulation analysis. Gene-level interactions were evaluated by comparing predicted compound targets with Mtb-related host genes. Among descriptors, the PubChem-RF model achieved the best performance. SHAP identified PubchemFP417 (alkyne), PubchemFP462 (carboxylic acid), PubchemFP143 (five-membered rings), and PubchemFP34 (sulfur-containing fragments) as major contributors. CHEMBL4635765 showed strong and stable binding within the PTP pocket, while isoxazole carboxylic acid maintained key interactions but with lower stability. Network analysis revealed four shared targets (APP, HDAC8, CACNA1B, pvdQ) and compound-specific links to immune-related genes, including PTPN1 and NFKB1. This integrative computational study combines machine learning, structural modeling, and network pharmacology to provide mechanistic insights into PtpB inhibition and to identify promising chemical scaffolds for future anti-tubercular research. As the analysis is entirely computational, experimental validation will be required to confirm the predicted activities.",,,,,Docking (animal); Mycobacterium tuberculosis; Quantitative structure–activity relationship; Computational biology; Protein tyrosine phosphatase; Virtual screening; Phosphatase; Chemistry; Biochemistry; Drug discovery; In silico; Machine learning; Protein–protein interaction; Computer science; Computational model; Molecular descriptor; Cheminformatics; Artificial intelligence; Partial least squares regression; Biology; Key (lock); Molecular model; Plasma protein binding; Systems biology; Structural biology; Stereochemistry; Isoxazole; Interactome; Protein phosphatase 2; Rational design; Ensemble forecasting; Support vector machine; Host (biology); Drug design; Graph; Binding site; Binding affinities,"Mycobacterium tuberculosis
                  ; Machine learning; Molecular modelling; Network pharmacology; Protein tyrosine phosphatase B; QSAR",,,,,http://dx.doi.org/10.1007/s11030-026-11476-8,41706292,10.1007/s11030-026-11476-8,,,0,001-068-870-887-547; 002-286-333-483-776; 003-043-818-220-042; 005-791-410-493-537; 006-443-883-452-554; 006-709-467-771-922; 010-129-822-526-694; 012-901-180-331-556; 014-081-367-358-021; 015-875-592-519-451; 017-685-068-437-076; 017-759-269-256-086; 019-519-439-527-046; 020-186-229-176-033; 025-092-896-131-925; 027-934-409-572-469; 031-080-153-779-72X; 031-505-634-626-434; 032-712-622-631-605; 032-745-868-636-642; 033-181-320-011-650; 035-699-946-002-579; 042-354-265-961-248; 046-035-988-192-566; 054-158-433-521-207; 059-629-676-934-989; 060-694-909-428-435; 069-344-120-420-580; 073-566-747-656-376; 090-072-407-967-190; 101-990-240-066-066; 103-397-094-213-739; 107-500-141-832-929; 110-878-494-123-469; 113-200-648-706-318; 114-614-312-654-258; 117-894-626-978-173; 120-078-573-874-006; 121-872-738-547-068; 124-198-953-379-586; 124-248-298-588-025; 126-491-408-915-844; 133-164-338-117-139; 135-228-913-450-070; 135-615-751-012-974; 145-915-591-252-780; 151-078-350-190-760; 152-965-718-906-868; 168-256-455-976-862; 192-065-801-708-579; 198-614-970-944-57X,0,false,,
011-443-007-218-558,Local Coordination of Distributed PV-BESS for Grid Voltage Regulation,,2026,journal article,IEEE Transactions on Industrial Informatics,15513203; 19410050,Institute of Electrical and Electronics Engineers (IEEE),United States,Zhanqiang Zhang; Wenbin Yue; Chuan Sun; Xiaodong Li,"To mitigate bus voltage violations in active distribution networks, this article proposes a local coordinated voltage regulation (VR) algorithm involving distributed photovoltaic (PV) and battery energy storage system (BESS). First, a sequential coordination mechanism of reactive power compensation (RPC) of PV followed by active power compensation (APC) of BESS is designed. Then, the available maximum RPC capacity and the required minimum APC capacity are computed in turn based on the exact VR requirement of a selected crucial bus. Afterward, a capacity-based proportional RPC-APC control is adopted to keep each PV or BESS in a consistent controllable state, thereby preventing repeated parameter updates and extensive iterations. The algorithm only requires control of local PV and BESS on the buses experiencing voltage issues, which leads to a fairer sharing of the VR burden. Finally, the effectiveness is validated through the case study in a real grid scenario.",,,1,9,Compensation (psychology); AC power; Photovoltaic system; Voltage; Grid; Voltage regulation; Control theory (sociology); Computer science; Engineering; Power (physics); Voltage compensation; Distributed generation; Control (management); Distribution grid; Voltage optimisation; Control engineering; Capacitor; Battery (electricity); Energy storage; Electric power system; Power control; Control system; Energy (signal processing); Voltage regulator; Electronic engineering; Grid-connected photovoltaic power system; Power grid; Voltage droop; Decentralised system; Power electronics,,,,National Natural Science Foundation of China; National Natural Science Foundation of China; China Postdoctoral Science Foundation; Macao Young Scholars Program; Fundo para o Desenvolvimento das Ciencias e da Tecnologia of Macau,,http://dx.doi.org/10.1109/tii.2026.3655721,,10.1109/tii.2026.3655721,,,0,,0,false,,
011-458-830-350-688,Towards Fine-grained Knowledge Tracing by Hierarchical Fusion of Multiple Question Attributes,2026-02-16,2026,journal article,ACM Transactions on Information Systems,10468188; 15582868,Association for Computing Machinery (ACM),United States,Shuanghong Shen; Qi Mo; Zhenya Huang; Yu Su; Linbo Zhu; Junyu Lu; Qi Liu,"<jats:p>Knowledge Tracing (KT), a pivotal component of intelligent tutoring systems, models the evolution of student knowledge states to predict future performance. While KT fundamentally relies on the premise that performance on similar questions is highly correlated, existing approaches often depend on generalized question representations, neglecting the rich, multi-faceted nature of question attributes. To address this limitation, we propose the Hierarchical Question Attribute-Fused Knowledge Tracing (HQAF-KT) model, a novel architecture that deconstructs question similarity through three hierarchical dimensions: inherent, dynamic, and statistical. HQAF-KT first enriches foundational representations by integrating inherent question attributes. It then deploys a Dynamic Computing module that leverages student-specific dynamic attributes to personalize similarity assessments based on individual cognitive contexts. Furthermore, a Statistic Correction module refines generalized statistical attributes to account for unique student abilities. This hierarchical fusion enables a nuanced, individualized modeling of question relationships. Extensive experiments on three large-scale, real-world datasets demonstrate that HQAF-KT significantly outperforms state-of-the-art baselines by effectively capturing multi-level question similarity.</jats:p>",,,,,Computer science; Tracing; Premise; Similarity (geometry); Artificial intelligence; Component (thermodynamics); Machine learning; Architecture; Statistic; Hierarchical database model; Data mining; Representation (politics); Knowledge representation and reasoning; Information retrieval; Knowledge extraction; Relation (database); Statistical model; Cognition,,,,,,http://dx.doi.org/10.1145/3797886,,10.1145/3797886,,,0,016-554-919-148-496; 019-837-646-428-79X; 022-005-012-641-325; 023-760-316-890-254; 026-495-163-352-678; 028-446-820-260-549; 033-275-552-098-377; 051-281-329-601-64X; 060-829-473-455-226; 065-040-913-181-059; 065-309-371-506-101; 080-068-772-359-658; 083-311-368-735-11X; 085-043-106-507-752; 087-927-674-247-06X; 097-825-832-070-673; 098-810-317-746-469; 100-111-388-013-067; 100-120-661-030-322; 112-162-367-487-066; 114-422-346-637-919; 133-309-961-575-259; 138-138-475-798-009; 141-189-559-755-725; 141-438-561-197-333; 144-915-567-620-073; 149-207-723-577-391; 154-316-175-217-005; 164-155-798-443-795; 168-172-766-395-864; 168-730-618-567-701; 186-154-517-665-986; 188-006-649-973-495; 188-641-416-940-353; 192-960-226-611-260,0,false,,
011-479-949-957-674,CoSMT-LC: Secure Collaborative Marine Traffic Management using Lightweight Cryptography,,2026,journal article,IEEE Internet of Things Journal,23274662; 23722541,Institute of Electrical and Electronics Engineers (IEEE),United States,Radhika Lama; Sandip Karmakar,"Demand for IoT-based technologies for port management and vessel tracking has grown due to the swift digitalisation of maritime operations. However, numerous of the existing marine security frameworks in use today are still ineffective as they require a lot of computing and storage power and lack the ability to safeguard against threats including replay, impersonation, key compromise, and insider attacks. To overcome these limitations, CoSMT-LC enables secure, economical, and biometric-assisted mutual authentication through the integration of elliptic curve cryptography (ECC), fuzzy extractors, and hash-based authentication. The robustness of the proposed protocol is verified through the Real-Or-Random (ROR) model and the Scyther verification tool. Implementation results using the MIRACL SDK show that CoSMT-LC reduces computational cost by 42.6% and communication overhead by 38.4% compared with leading protocols, providing a secure and scalable foundation for future maritime traffic management systems.",,,1,1,Computer science; Key management; Computer security; Robustness (evolution); Elliptic curve cryptography; Cryptography; Computer network; Scalability; Authentication (law); Mutual authentication; Cryptographic protocol; Safeguard; Key (lock); Overhead (engineering); Symmetric-key algorithm; Public-key cryptography; Insider; Redundancy (engineering); Port (circuit theory); Security analysis; Message authentication code; Authentication protocol; Fuzzy logic; Traceability; Firewall (physics); Public key infrastructure,,,,,,http://dx.doi.org/10.1109/jiot.2026.3662363,,10.1109/jiot.2026.3662363,,,0,,0,false,,
011-858-881-888-325,Nash-Minmax Capturing Strategy for Multiagent Pursuit-Evasion Differential Games Under Directed Graphs,2026-01-01,2026,journal article,IEEE Transactions on Industrial Informatics,15513203; 19410050,IEEE Computer Society,United States,Ran Shi; Hai-Tao Zhang; Jialuo Li; Fulong Hu; Yuchong Hu; Jiayu Zou,"In this article, a heterogeneous multiagent pursuit-evasion (MPE) differential gaming problem is addressed. Therein, the pursuers aim to cooperatively capture the sole escaping evader. The theoretical analytical challenge lies in designing the Nash-minmax gaming strategy for such MPE games under directed graphs with external disturbances. Intra-alliance cooperation (pursuers and their peer neighbors) is regarded as a nonzero-sum game, while interalliance confrontation (multiple pursuers versus one evader) is treated as another zero-sum game. To tackle this issue, a hierarchical gaming framework is established to solve the associated coupled Hamilton-Jacobi-Isaacs (HJI) equation and accordingly derive the associated distributed gaming protocol. Finally, both numerical simulations and lake-based multi-autonomous surface vehicle (ASV) gaming experiments are conducted to verify the effectiveness of the present MPE gaming strategy.",,,1,10,Computer science; Directed graph; Multi-agent system; Theoretical computer science; Game theory; Mathematical optimization; Differential (mechanical device); Differential game; Distributed computing; Differential equation; Nash equilibrium; Graph theory; Electronic mail; Computational complexity theory,,,,,,,,,,,0,,0,false,,
012-438-212-337-396,Decentralized Federated Learning in LEO-Satellite-Based IoE Communications: Latency Optimization Under Reliability Constraints,2026-01-01,2026,journal article,IEEE Internet of Things Journal,23274662; 23722541,Institute of Electrical and Electronics Engineers (IEEE),United States,Pengxiang Qin; Qiao Li; Dongyang Xu,"Artificial intelligence-empowered low earth orbit (LEO) satellite networks have the great potential to provide robust and ubiquitous communications capabilities for Internet of Everything (IoE) services. Due to the intrinsic high decentralization, it is expected for LEO satellite nodes to deploy decentralized federated learning (DFL) for model training collaboratively while preserving data privacy. However, the challenges lie in the latency management of the DFL process under communications reliability constraints. To address the issue, we propose a novel DFL framework that incorporates halving and doubling to balance the load of networks. Considering the dependency of aggregation, the latency of DFL clients is recursively derived. Under constraints of energy consumption and network reliability, an optimization problem is formulated that aims to minimize the mean latency, solved using the particle swarm optimization algorithm. Additionally, we introduce a latency-aware scheduling strategy to further improve DFL latency-efficiency by leveraging overlapping inter-satellite links among DFL clients. Simulation results show that the proposed methods significantly accelerate the DFL process by up to 16.2% and enhance its efficiency compared to the alternatives.",13,1,24,38,Computer science; Latency (audio); Reliability (semiconductor); Communications satellite; Computer network; Distributed computing; Satellite; Telecommunications; Physics; Aerospace engineering; Engineering; Quantum mechanics; Power (physics),,,,"Open Research Fund of State Key Laboratory of Integrated Services Networks, Xidian University",,http://dx.doi.org/10.1109/jiot.2025.3557128,,10.1109/jiot.2025.3557128,,,1,007-362-498-974-34X; 021-535-177-249-382; 023-192-653-414-782; 035-744-680-432-685; 038-706-485-142-369; 042-510-576-234-744; 046-871-542-704-823; 052-946-252-217-104; 057-613-105-082-162; 060-346-178-806-138; 061-737-581-829-182; 062-053-248-736-336; 079-211-662-344-109; 093-177-277-265-819; 097-138-550-172-378; 103-366-626-454-890; 106-666-766-919-817; 111-601-384-030-020; 117-689-173-719-247; 120-614-271-614-678; 125-469-815-798-617; 130-668-474-109-395; 134-665-701-904-172; 135-618-657-237-02X; 137-691-929-434-54X; 139-300-905-775-106; 142-152-539-080-668; 145-962-299-996-506; 163-388-298-798-670; 166-035-347-753-467; 166-352-051-723-081; 184-506-163-101-000; 186-622-177-986-912; 189-723-581-441-211; 191-758-026-787-303,2,false,,
012-476-454-380-597,A sub-grouping-based resource allocation method for layered video's multicast broadcast service (MBS) over the 5G cellular network,2026-02-03,2026,journal article,Multimedia Systems,09424962; 14321882,Springer Science and Business Media LLC,Germany,Chung-Ming Huang; Shao-Chieh Hsu,,32,2,,,Computer science; Multicast; Computer network; Multimedia Broadcast Multicast Service; Quality of service; Coding (social sciences); Resource allocation; Scalable Video Coding; Cellular network; Spectral efficiency; Base station; Scalability; Service (business); Channel (broadcasting); Resource (disambiguation); Video quality; Data as a service; Linear network coding; Service quality; Multiple description coding; Code rate,,,,"The Ministry Of Science and Technology (MOST), Taiwan.",,http://dx.doi.org/10.1007/s00530-025-02137-1,,10.1007/s00530-025-02137-1,,,0,008-409-492-872-352; 018-881-147-553-248; 037-733-776-501-189; 037-913-166-974-999; 040-827-885-451-921; 051-578-635-777-915; 056-640-882-988-185; 060-498-801-316-820; 064-102-996-190-915; 072-158-207-944-01X; 078-989-922-330-995; 085-960-618-118-409; 111-467-870-834-660; 115-942-518-592-637; 142-245-198-841-555; 146-442-159-723-175; 168-156-767-281-594; 174-273-755-781-743; 179-676-422-895-193; 186-360-523-540-810; 192-039-236-245-719,0,false,,
012-540-528-906-939,Covert Communication for Satellite Aerial–Ground Integrated Networks Under Imperfect Limitations,2026-01-01,2026,journal article,IEEE Internet of Things Journal,23274662; 23722541,Institute of Electrical and Electronics Engineers (IEEE),United States,Yuanyuan Wang; Kefeng Guo; Zeke Wu; Min Wu; Ali Nauman; Jian Cheng; Feng Zhou,"This works investigates the covert performance for the satellite aerial ground integrated networks with imperfect limitations, i.e., channel estimation errors, non-ideal hardware and co-channel interference. To enhance the covert transmission, an unmanned aerial vehicle is applied to forward the signal from the satellite source to the destination. Particularly, the detection error probability, outage probability and the covert transmission rate are further studied in the presence of closed-form expressions and asymptotic expressions. Finally, some representative Monte Carlo simulations are proposed to verify our theoretical analysis. Derived from the results, the non-ideal hardware, the channel estimation errors and the co-channel interference have great impacts on the covert performance. Particularly, when the system is under non-ideal hardware, a suitable power allocation scheme is needed for the interference to gain the lowest detection error probability. Moreover, the outage probability has a lower bound in the case of non-ideal hardware. What’s more, the covert transmission rate also has an upper bound when the system is under non-ideal hardware. In addition, to have a better covert performance, the channel state information should be accurate enough by allocating much power for the channel estimations. The finding results are essential for the practical system for they can promote the engineering design.",13,1,296,307,Computer science; Communications satellite; Imperfect; Satellite; Covert; Satellite broadcasting; Telecommunications; Computer network; Remote sensing; Engineering; Geography; Philosophy; Aerospace engineering; Linguistics,,,,Jiangsu Province Industry-University-Research Cooperation Project; Jiangsu Province Industry-University-Research Cooperation Project; Competition Project of the Key Research and Development Program of Yancheng City in the Industrial Field; National Natural Science Foundation of China,,http://dx.doi.org/10.1109/jiot.2025.3601506,,10.1109/jiot.2025.3601506,,,0,008-445-252-371-354; 009-041-640-131-374; 012-758-593-334-326; 013-275-541-500-177; 014-668-648-123-002; 021-860-707-629-569; 022-650-103-642-405; 025-731-347-945-780; 028-658-652-220-816; 032-491-227-292-176; 036-484-724-886-32X; 037-406-698-828-224; 037-698-575-037-796; 038-825-925-581-018; 043-907-240-280-642; 047-042-792-961-118; 050-449-528-810-903; 050-798-006-597-856; 051-252-822-841-222; 052-445-834-565-453; 057-964-364-236-474; 065-817-752-928-421; 069-716-780-960-536; 071-093-121-371-715; 077-184-913-427-010; 079-491-958-377-267; 085-886-976-682-170; 086-970-375-831-44X; 091-890-387-052-372; 092-082-869-488-954; 092-446-370-608-149; 096-797-750-288-052; 098-619-473-933-105; 100-641-428-819-582; 106-007-403-780-626; 107-801-663-859-01X; 116-754-472-883-794; 129-410-634-000-169; 130-729-384-736-025; 137-894-352-807-304; 140-412-908-870-645; 146-220-307-828-021; 147-488-551-648-819; 153-467-028-917-847; 153-479-892-641-562; 161-188-053-422-086; 167-966-887-316-083; 168-602-583-128-437; 170-098-187-048-605; 187-711-909-887-292; 198-783-464-886-837; 199-716-865-639-315,1,false,,
012-544-850-779-198,Finite Block-Length Covert Communication in Space–Air–Ground Integrated Networks,2026-01-01,2026,journal article,IEEE Internet of Things Journal,23274662; 23722541,Institute of Electrical and Electronics Engineers (IEEE),United States,Shunkai Mu; Hongjiang Lei; Ki-Hong Park; Gaofeng Pan,"This paper tackles the challenge of enabling covert communication in a dual-hop space-air-ground integrated network (SAGIN) comprising a satellite, an aerial decode-and-forward relay, an aerial-friendly jammer, and a terrestrial receiver. The direct satellite-to-receiver link is often compromised by deep fading, necessitating the use of relays to forward signals. To counteract the warden’s detection of signals from the satellite and relay, a friendly jammer is deployed to emit artificial noise (AN) to confuse the warden’s decision with two jamming schemes: uninformed jamming (UJ) and cognitive jamming (CJ). In the UJ scheme, the jammer continuously sends AN, while in the CJ scheme, the jammer adjusts its AN emission based on its detection results. Considering finite block-length communication, we derive closed-form expressions for the system’s covert outage probability under both schemes, which are crucial for evaluating the warden’s detection performance and the quality of service of legitimate link messages. The correctness of the results is validated through Monte Carlo simulations, and the impact of relevant parameters on covert performance is analyzed. The findings can provide new insights and methods for enhancing covert communication in SAGIN systems.",13,1,1,12,Computer science; Block (permutation group theory); Computer network; Mathematics; Geometry,,,,National Natural Science Foundation of China; National Natural Science Foundation of China,,http://dx.doi.org/10.1109/jiot.2025.3531881,,10.1109/jiot.2025.3531881,,,0,001-078-450-720-985; 004-909-273-710-092; 012-370-724-773-337; 014-039-846-153-913; 015-224-647-539-718; 015-540-352-628-646; 019-434-355-343-896; 023-207-814-773-962; 023-932-197-560-567; 024-160-518-259-257; 024-764-431-344-042; 035-961-367-663-269; 040-748-889-336-247; 045-454-141-707-659; 046-070-760-599-718; 053-673-975-003-359; 060-234-862-231-039; 064-068-992-377-794; 069-187-331-054-502; 071-925-990-884-394; 072-708-121-928-696; 075-103-416-016-771; 086-762-720-110-699; 087-182-791-533-256; 097-288-958-180-711; 106-007-403-780-626; 109-669-032-443-760; 111-584-371-021-967; 122-222-909-448-155; 126-261-918-955-295; 131-092-536-157-50X; 133-958-938-910-477; 136-726-451-001-024; 136-747-312-263-545; 153-479-892-641-562; 156-877-706-471-444; 170-098-187-048-605; 174-414-235-183-746; 179-054-428-850-942; 183-528-283-292-164; 187-711-909-887-292; 198-783-464-886-837,6,false,,
012-683-839-523-159,IT and Data Governance Constraints in Healthcare Analytics,2026-02-03,2026,journal article,Journal of Cases on Information Technology,15487717; 15487725,IGI Global,United States,Daniel Vondra; Petra Poulová,"<p>Healthcare organizations increasingly apply artificial intelligence and machine learning to data generated by operational information systems, despite frequent mismatches between data quality and the requirements of predictive analytics. This information technology-focused case study examined the feasibility of applying machine learning to non-standardized operational healthcare data, using pressure ulcer documentation as an illustrative example. A random forest classifier was applied to a multi-hospital dataset extracted from a bed management system, achieving moderate overall accuracy but limited performance in predicting the minority class due to data heterogeneity, class imbalance, and limited feature availability. Feature importance analysis nevertheless identified anatomically plausible patterns, demonstrating that noisy operational data can still support exploratory analytics. This study highlights practical implications for healthcare information technology leaders regarding data governance, system design, and realistic expectations of artificial intelligence-driven initiatives.</p>",28,1,1,18,Computer science; Data governance; Random forest; Predictive analytics; Health care; Analytics; Data science; Artificial intelligence; Classifier (UML); Big data; Data analysis; Feature (linguistics); Quality (philosophy); Data quality; Data mining; Corporate governance; Knowledge management; Machine learning; Exploratory data analysis; Class (philosophy); Documentation; Exploratory research; Health informatics; Information system; Process management; Information technology; Predictive modelling; Data modeling; Business intelligence; Decision support system,,,,,https://www.igi-global.com/ViewTitle.aspx?TitleId=400272&isxn=9798337386218 https://doi.org/10.4018/jcit.400272,http://dx.doi.org/10.4018/jcit.400272,,10.4018/jcit.400272,,,0,,0,true,cc-by,gold
012-688-210-536-430,Code and Data Repository for Submodular Dispatching with Multiple Vehicles,2026-01-21,2026,journal article,INFORMS Journal on Computing,10919856; 15265528,Institute for Operations Research and the Management Sciences (INFORMS),United States,Ignacio Ismael Erazo Neira; Alejandro Toriello,"<jats:p>This distribution includes the source code to reproduce the results of the paper ""Submodular Dispatching with Multiple Vehicles"" by Ignacio Erazo and Alejandro Toriello, published in the INFORMS Journal of Computing. The results of the paper are provided as .pickle files, and scripts to reproduce the tables and figures are also given.</jats:p>",,,,,Scripting language; Computer science; Code (set theory); Source code; Submodular set function; Database; Programming language; Information repository; Distribution (mathematics); Data source; Source lines of code; Program code; Data modeling; Operating system; Data structure; Data model (GIS); Production (economics),,,,,,http://dx.doi.org/10.1287/ijoc.2024.0886.cd,,10.1287/ijoc.2024.0886.cd,,,0,,0,false,,
012-689-339-726-432,CSD-CGCF: A Causal Semantic Disentanglement and Cross-Graph Constraints Framework for Category Overlap Suppression in Zero-Shot Compound Fault Decoupling,,2026,journal article,IEEE Internet of Things Journal,23274662; 23722541,Institute of Electrical and Electronics Engineers (IEEE),United States,Peirong Zhu; Yongzhi Liu,"The prevalence of compound faults in the health monitoring of complex industrial equipment poses significant challenges, particularly due to the scarcity of labeled samples and the high cost of annotation. This has stimulated considerable research interest in Zero-Shot Learning for compound fault decoupling. However, existing methods often overlook the impact of feature space overlap between compound faults and their constituent individual faults, which severely degrades decoupling accuracy. Accurately decoupling compound faults under this condition remains a significant challenge. To address this issue, we proposes a compound fault decoupling framework based on causal semantic disentanglement and cross-graph constraints. First, a cross-graph constraint mechanism is introduced, integrating the causal feature graph and the fault semantic graph. This facilitates the fusion of causal contributions and semantic structures within the feature space. Furthermore, we design a causal decoupling classification network based on contrastive learning. This network leverages counterfactual reasoning to generate decoupled fault features and employs a hierarchical prototype contrastive loss to establish a metric space with clear inter-class boundaries. Finally, a causal-aware classification network is built using contrastive similarity functions to achieve high-accuracy compound fault decoupling in zero-shot scenarios. Experiments on the motor bearing fault dataset demonstrate that the proposed model outperforms all baseline models in zero-shot compound fault decoupling, with an F1 score of 95.08% ± 0.56. This significantly advances the engineering application of zero-shot compound fault decoupling methods.",,,1,1,Computer science; Decoupling (probability); Data mining; Artificial intelligence; Fault (geology); Counterfactual thinking; Feature vector; Stuck-at fault; Fault detection and isolation; Graph; Machine learning; Feature (linguistics); Pattern recognition (psychology); Semantic similarity; Feature extraction; Fault management; Constraint (computer-aided design); Similarity (geometry); Metric (unit); Fault model; Semantic feature; Feature learning; Reliability engineering; Fault tolerance; Centrality; Algorithm; Theoretical computer science,,,,,,http://dx.doi.org/10.1109/jiot.2026.3659353,,10.1109/jiot.2026.3659353,,,0,,0,false,,
